,prediction,actual,difference,% error
1218,1714.2537,2369.83,655.5763378906249,27.67869190748229
1219,1589.6376,1657.1,67.46242675781241,4.100049876798529
1220,3448.2905,9909.22,6460.929472656249,65.20294693145972
1221,1608.2026,1470.37,137.8326367187501,9.404817333873838
1222,1824.4525,1747.07,77.38251464843756,4.456617740544731
1223,2014.1609,2231.45,217.28911132812482,9.757795261010543
1224,2785.28,2495.19,290.09002929687495,11.643674867346302
1225,2151.2898,2496.42,345.1302050781251,13.842261869748532
1226,1387.4136,1122.01,265.40357421875,23.688303375359688
1227,1618.0281,1643.57,25.541923828124936,1.583991182134881
1228,1768.2714,1643.31,124.96136230468755,7.632351811017549
1229,1820.2185,1817.38,2.838505859374891,0.18364830788472786
1230,9681.116,10117.8554089529,436.7391980154007,4.321247676559411
1231,3120.5264,2682.56,437.96636718750005,16.34202616368997
1232,1835.1709,1784.66,50.51089843749992,2.8574972796556004
1233,2996.578,2824.22,172.3578808593752,6.119469570767198
1234,1935.4352,1666.98,268.4551806640625,16.129439673283187
1235,1732.3243,1506.73,225.59434082031248,15.000652907672517
1236,2443.6765,2698.71,255.03348632812504,9.466973163559894
1237,1831.9678,2737.11,905.1422265625001,33.08149175969185
1238,1595.4839,1308.22,287.26388671875,21.988193556967875
1239,1009.6144,535.512499999999,474.1018798828135,88.5430619403119
1240,2241.8389,2000.36,241.4788671875001,12.093743049863564
1241,1957.3384,2035.92,78.58162109375007,3.8833649784302877
1242,3612.8745,3290.79,322.08451171875004,9.801157349208063
1243,1380.808,1503.19,122.38201660156255,8.172031243245785
1244,2679.9036,2321.3,358.6035644531248,15.46660196628154
1245,2655.557,2694.61,39.05311523437513,1.4675881590872033
1246,2384.2708,2520.49,136.21924804687478,5.4232364288186306
1247,1764.1113,2347.49,583.3786718749998,24.86717029778661
1248,2783.2659,3696.47,913.2041308593748,24.714945776118682
1249,2381.8782,2214.18,167.69817382812516,7.594694214429406
1250,1777.0615,2030.22,253.15847656250003,12.491061129180785
1251,1789.3362,1817.45,28.113818359375045,1.5739606897535712
1252,9524.896,10117.8554089529,592.9589245779007,5.865171765490642
1253,1543.7069,1483.38,60.32690917968739,4.099179797536687
1254,1644.8688,1364.28,280.5887744140625,20.595903692467836
1255,1574.1385,1782.21,208.07145019531254,11.699684760578698
1256,1581.3533,1564.06,17.293271484375055,1.1372699982343315
1257,2207.5486,2542.05,334.5014160156252,13.17580444890465
1258,1732.2104,1381.29,350.92044921875004,25.432261719852512
1259,2131.3074,1739.15,392.1573730468749,22.571055847260936
1260,1713.789,1495.56,218.22894042968755,14.62033210096437
1261,1112.8284,1054.69479999999,58.13356914063502,5.556658272068397
1262,1851.1155,1990.33,139.21452148437493,7.017903160208301
1263,1841.395,1763.02,78.37501953125002,4.472590020598009
1264,2342.6287,2489.06,146.43133789062495,5.9018998493960755
1265,1839.8342,1451.16,388.6742285156249,26.808910386428288
1266,1940.639,1919.38,21.25903808593739,1.1333540682718393
1267,3097.1633,3204.4,107.23666992187509,3.3616234491520824
1268,1751.2136,1660.99,90.22362304687499,5.46037731475212
1269,10019.212,10117.8554089529,98.64349489040069,0.9798380357609968
1270,1722.7073,1654.91,67.79727539062492,4.1257015114458
1271,1874.1929,1974.22,100.02712890625003,5.090702930352153
1272,2850.0222,2386.52,463.502216796875,19.438555889639595
1273,1465.6931,1485.8,20.106884765624955,1.3864552758948365
1274,2671.3792,2729.14,57.76084960937487,2.134378511795507
1275,2724.449,2240.96,483.48897460937496,21.5925769190338
1276,3341.8083,3052.35,289.4583496093751,9.497955995524677
1277,2529.313,2475.68,53.632988281250164,2.186149160450782
1278,1834.3102,1891.84,57.52981933593742,3.0665641129996417
1279,1604.3577,1980.05,375.69233398437495,18.994336622876222
1280,3932.511,2247.07,1685.4409863281248,75.01172316448987
1281,1802.4438,1806.15,3.706152343750091,0.23281500809509814
1282,2263.273,2039.83,223.44294921875007,10.975820049636582
1283,2227.6072,2119.08,108.52717773437507,5.143810459353979
1284,3124.8503,2585.29,539.560341796875,20.88569999098438
1285,4686.598,2872.02,1814.57814453125,63.18765907743897
1286,1969.8356,1893.71,76.12557128906246,4.045252178431244
1287,3146.2551,2647.51,498.7451269531248,18.853596736912802
1288,1689.8419,1586.8,103.04191894531255,6.523147416702107
1289,1844.7627,1843.41,1.3526953124999181,0.10047645017923425
1290,1464.9862,1384.23,80.75620605468748,5.868018029123907
1291,1852.7169,1184.26,668.4569189453125,56.46349631531387
1292,1737.7104,1785.4,47.68955078125009,2.6983342169914377
1293,1674.6204,1563.02,111.60036132812502,7.1697427169543735
1294,1470.492,1119.73666666666,350.7552766927149,31.355452570383964
1295,4492.3696,3898.17,594.1996289062499,15.253910408068647
1296,1659.2247,2299.64,640.4152685546874,27.864185160672285
1297,2761.1917,2371.6,389.5916503906251,16.444991795903423
1298,2370.2441,2545.75,175.505859375,6.912355792832598
1299,1481.1033,1489.71,8.606728515625036,0.6111037045533875
1300,1168.3158,1258.59,90.27420410156242,7.209508780274835
1301,3778.6257,3271.13,507.4957324218749,15.527297781896939
1302,1859.7783,1854.88,4.898320312499891,0.29095496946716526
1303,1742.4916,1922.32,179.82842285156244,9.378330933293935
1304,1645.2434,1883.71,238.46659179687504,12.682588023462088
1305,1184.0599,998.592727272727,185.46720925071054,18.613608544459577
1306,2395.013,2415.61,20.597060546875127,0.8731829489085814
1307,1806.688,1734.09,72.59798828125008,4.2141363827331
1308,1800.9652,1954.24,153.2747900390625,7.866764379869575
1309,2310.3564,2152.88,157.4764453124999,7.3362084403356524
1310,5893.611,3151.9,2741.71083984375,86.98803577730459
1311,2299.8013,2031.97,267.83126953125,13.202225348037116
1312,2172.925,1687.93,484.99504882812494,28.754230191842417
1313,1812.7516,1815.16,2.408413085937582,0.16018489617756526
1314,1983.1829,2048.16,64.97713867187485,3.1960959198634646
1315,3103.297,3361.01,257.7128808593752,7.681455085939806
1316,2248.6636,2453.45,204.78642578124982,8.365550470924422
1317,1768.2714,1711.73,56.54136230468748,3.331407714190703
1318,1685.3661,1611.53,73.83608886718753,4.611334086039809
1319,3197.9512,3090.75,107.201171875,3.484065406389001
1320,2996.8735,2595.93,400.94353515625016,15.461365611868997
1321,1731.9369,1691.13,40.80688964843739,2.4418395067737855
1322,1528.2328,1408.64,119.5927880859374,8.522417083181045
