,prediction,actual,difference,% error
1100,2865.6182,2487.94,377.67816406249995,15.197399337034446
1101,1937.5248,1790.79,146.73478027343754,8.21948318102806
1102,1717.4435,1568.01,149.4334814453125,9.558975170404556
1103,1910.3079,2021.29,110.98213867187496,5.5140315597502685
1104,1554.7992,1647.86,93.0608056640624,5.67599345191963
1105,2854.771,1946.38,908.3909960937499,46.68448985524274
1106,1385.1274,1566.11,180.9825585937499,11.58441211237959
1107,2766.7,3080.48,313.780048828125,10.200652027216178
1108,1515.0696,1695.99,180.920419921875,10.693869101608321
1109,2067.028,1947.77,119.25807617187502,6.146893201243925
1110,1240.7505,1176.56714285714,64.18334542411003,5.495297852516865
1111,3251.3845,2975.54,275.84452148437504,9.285645404106633
1112,1157.0096,1186.97727272727,29.96762917258252,2.565744193369507
1113,1808.0405,1677.06,130.98052734375005,7.837605053992111
1114,2883.7444,2661.67,222.07438476562493,8.360637553786006
1115,3420.2886,4934.4,1514.1114257812496,30.691836223251734
1116,1557.3506,1645.81,88.45941406249995,5.403563974130021
1117,749.45514,593.88,155.57513916015625,26.258477600214718
1118,2063.686,1794.09,269.5960351562501,15.050570612577252
1119,1540.2683,1676.6,136.3316894531249,8.158827109482136
1120,1382.5234,1636.56,254.03656249999995,15.548395446715451
1121,1636.4504,1886.42,249.96956054687507,13.273989387301796
1122,1069.9802,948.603333333333,121.37689127604199,12.841266803689312
1123,3470.7976,2969.75,501.047607421875,16.885703473508123
1124,1800.2666,1885.98,85.71339843750002,4.570066920269498
1125,1466.8364,1581.95,115.11357421875005,7.305985921751085
1126,2648.3875,2450.21,198.17745117187496,8.106934364811625
1127,2286.0398,2402.36,116.32020507812513,4.861715001212103
1128,1740.6627,1561.3316,179.33111972656252,11.514117125467466
1129,1843.2922,1849.45,6.1577636718750455,0.35988884412416794
1130,1886.0182,1674.14,211.8781884765624,12.682020522414511
1131,1731.8153,1760.46,28.644692382812536,1.655045678653265
1132,1801.8267,1636.76,165.06666015625,10.112423204393316
1133,2361.44,1820.68,540.7599414062499,29.720288022394815
1134,1876.9727,1892.41,15.437343750000082,0.8419493663195863
1135,2486.6853,2526.19,39.504697265625055,1.5832847427118109
1136,1772.1658,2000.86,228.6942285156249,11.451924117381425
1137,1624.7361,1718.27,93.53391601562498,5.471000541993693
1138,1693.7716,1727.825,34.053393554687545,1.9992416677816698
1139,2342.9905,1829.88,513.1104785156249,28.060319633935293
1140,1657.5941,1627.68,29.914116210937436,1.8679824227626822
1141,1568.095,1645.11,77.0150292968749,4.71041311713437
1142,1606.5579,1921.83,315.2721386718749,16.426531275684972
1143,797.7418,1046.49,248.7481787109375,23.806166124885387
1144,1875.2155,1493.6,381.6154541015626,25.574958443314543
1145,2740.6252,2834.09,93.46475585937515,3.314932877748639
1146,1278.9797,1631.98,353.000263671875,21.654186493670675
1147,1934.0181,2435.24,501.2219335937498,20.598336997945175
1148,2454.6453,2091.13,363.5152636718749,17.403425255512442
1149,1534.1621,1829.47,295.307890625,16.164630601867792
1150,5010.563,5251.78,241.21701171874975,4.602134915098772
1151,5558.4365,2688.85,2869.5865234375,106.72045376903341
1152,2184.5427,1778.66,405.8827246093749,22.841269172495725
1153,1951.5149,1925.31,26.204892578125055,1.3866836592459824
1154,1280.6555,1335.28,54.62448242187497,4.126763570488777
1155,1619.5325,937.58,681.952470703125,72.74992225643068
1156,4291.3774,4285.78,5.597441406250255,0.14225485517162328
1157,2157.8647,2438.53,280.6652539062502,11.527748896333796
1158,3081.1873,2678.09,403.09725585937485,15.067526417233502
1159,1695.4725,1528.77,166.70253417968752,10.933486838798089
1160,1891.9198,1551.025,340.8947998046874,22.003822033463038
1161,4255.5664,3093.35,1162.21640625,37.581537768476174
1162,1586.8262,1827.54,240.71382812499996,13.195216085260714
1163,2953.2522,2728.13,225.1221972656249,8.268698843948242
1164,1905.5813,1797.74,107.84129882812499,6.024852012419087
1165,2279.5642,2314.2,34.63579101562482,1.5179414617714961
1166,1805.2498,1538.63,266.6197558593749,17.355243277655223
1167,3007.1184,2958.78,48.3384082031248,1.6503476589955934
1168,1875.5072,2154.04,278.53279785156246,12.950922138904938
1169,6225.092,9844.9,3619.8082031249996,36.771570511355556
1170,1790.3329,1885.23,94.89711425781252,5.058895719843908
1171,3304.2964,2368.0,936.29638671875,39.552306806786994
1172,2758.66,2877.34,118.68008789062515,4.141303473807618
1173,1746.1914,1556.19,190.00140624999995,12.237594270535554
1174,1977.7979,2115.65,137.8521484375001,6.5379178431349425
1175,2054.8704,1785.88,268.9903613281249,15.085836234626724
1176,1628.5505,1860.83,232.27946289062493,12.506082365331505
1177,3183.2788,2683.35,499.9288085937501,18.645930606917304
1178,1916.208,1649.89,266.3180078124999,16.166967069147287
1179,2051.9016,1966.66,85.24161132812492,4.358649592718686
1180,1876.8483,1622.29,254.55826660156254,15.717268814915212
1181,1562.683,1745.16,182.47701660156258,10.481824444712176
1182,3192.9475,2840.63,352.3175097656249,12.418210703685677
1183,8002.8,3977.88,4024.9198046875,101.18238591304751
1184,1739.8751,1656.37,83.50512207031261,5.070109427433209
1185,3504.2947,2806.11,698.1846777343749,24.894255979077066
1186,3486.416,3412.9,73.51601562499991,2.168395606286984
1187,2493.307,2085.2,408.1068847656252,19.590875234483637
1188,1408.3757,1464.53,56.15426757812497,3.867106310322995
1189,3678.1238,3516.54,161.58377929687504,4.608528174171321
1190,2743.5798,2746.76,3.1801660156252183,0.13395768932045812
1191,1703.703,1673.9,29.80300292968741,1.8097827836650389
1192,1919.0635,1802.3,116.76347656250005,6.504519445445976
1193,1565.9915,1649.19,83.19854492187505,5.073592306546991
1194,1961.4211,1970.93,9.508857421875064,0.5076952984318521
1195,2021.6028,1961.14,60.4627832031249,3.107745723125798
1196,1945.0806,2106.59,161.50943359375015,7.688776160190127
1197,2190.1995,1981.76,208.439462890625,10.540467087598246
1198,3665.1353,3404.71,260.42525390624996,7.662530472606681
1199,1332.6895,1509.35818181818,176.6687286931799,11.734130451896634
1200,3123.0269,2752.57,370.45685546874984,13.47429798257036
1201,1731.9353,1678.03,53.90530273437503,3.2412469681432574
1202,2481.0432,1718.8,762.243212890625,44.36359058283168
1203,3641.621,3476.36,165.26109374999987,4.767551576710016
1204,3661.2195,2716.59,944.6294824218749,34.78462187199816
1205,1697.5382,1544.29,153.24820800781254,9.952693117369515
